"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.171509994741086,1.52145924594749,29.0279032327065,-0.112727301239198,0.911022731961735
"BA",-0.13882633666401,0.762457248196451,36.6497797890718,-0.18207753548464,0.856525250880825
"Inundated",1.71456562597944,1.50042973923829,5.62265115405256,1.14271637061117,0.299468807886419
"T.min",0.0241639839687337,0.0966325544153421,31.5281766764995,0.25006049063831,0.804162817255248
"Pit.repl",-0.00247540630009664,0.0823529244433565,31.8893460914145,-0.0300585111801252,0.976207726625997
"BA:Inundated",-0.873759469727264,1.398028311019,36.9584084157001,-0.624994116957757,0.535814928493491
