"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",20314.1420879647,363.906450376483,55.8224292725465,9.03945832399192e-233
"BA",3265.98422630985,672.090872155921,4.85943845038884,1.52502123090467e-06
"inundated",-1663.61484001702,997.828468874416,-1.6672352933502,0.0960188520828694
"BA:inundated",-3602.42067991397,1909.36403300071,-1.88671233858558,0.0597087986112041
