"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",2.68287103288669,0.978377772510011,41.8352024759837,2.74216269856973,0.00894338020269576
"BA",0.252624693908853,0.417485609401103,38.711768399913,0.605109944439167,0.548636979116783
"Inundated",-1.11010589253966,0.38245207590185,5.86628845225832,-2.9026012995797,0.0279560795233095
"T.min",-0.184934427559403,0.0711317075758617,40.3950111033803,-2.59988736193589,0.0129633821946054
"Pit.repl",-0.0202370526911787,0.0618949332524356,38.7355813898371,-0.32695814710136,0.745459853646284
"BA:Inundated",0.0106591414020485,0.749795640641916,38.2927864780334,0.0142160621165028,0.988731416386618
