"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",20314.1420879647,363.906450376484,567.999999994951,55.8224292725466,9.03945834738282e-233
"BA",3265.98422630986,672.090872155921,567.999999992463,4.85943845038886,1.52502123090966e-06
"inundated",-1663.61484001701,997.82846887442,567.999999990607,-1.66723529335019,0.0960188520828818
"BA:inundated",-3602.42067991398,1909.36403300071,567.999999988876,-1.88671233858559,0.0597087986112126
