"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",2.12238142567931,0.592131200270878,33.9397768077234,3.58430939749231,0.0010482835493658
"BA",0.47326998533914,0.323377247638779,37.3549068041622,1.46352283221791,0.151688998767609
"Inundated",-0.797634119601549,0.273137730199375,6.28106541747674,-2.92026341076833,0.0252522245443947
"T.min",-0.133997309151698,0.0430625369006103,32.5908594165669,-3.11169101488304,0.00385355943327967
"Pit.repl",-0.0274147397706308,0.0370379962724124,31.9888943638217,-0.740178803653331,0.464589738772177
"BA:Inundated",-0.85079136057194,0.591098407115938,36.8796431582919,-1.4393396265828,0.158488720711645
