"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",-0.535418801426269,1.67218519976494,34.2879887614129,-0.320191089779729,0.750766602999895
"BA",-0.90041236861645,0.885904534503098,37.3783900672729,-1.01637629512924,0.315984250203325
"Inundated",1.20341274968733,1.34542668451018,6.43783873660785,0.894446916760429,0.403281587119028
"T.min",0.0204745351309843,0.113396362419852,31.6857200165203,0.180557247993344,0.857865021256092
"Pit.repl",-0.0312804665391238,0.0966423868765845,32.0463343674498,-0.323672330020884,0.7482890506762
"BA:Inundated",0.337284111025237,1.62323087819394,37.6717255192944,0.207785667187721,0.836515573309644
