"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",120508886.740121,12706943.1737178,4.48576236046948,9.48370391624742,0.000390277340935684
"BA",1861975.83071209,10047200.2047006,43.2645774890845,0.18532285540015,0.853841898712066
"inundated",-24329117.0057767,20264400.44003,3.66487163316529,-1.20058410204515,0.301718230894168
"BA:inundated",23031661.4833176,16056766.2634272,31.8336458348672,1.43438978343836,0.161212481509878
